Date,Open,High,Low,Close,Volume
2024-03-22,1.8264,1.8319,1.6837,1.7313,68117143.6
2024-03-23,1.7312,1.738,1.6412,1.6445,39798958.6
2024-03-24,1.6447,1.6989,1.6186,1.6783,33241413.9
2024-03-25,1.6787,1.7478,1.6544,1.7036,40307879.6
2024-03-26,1.7035,1.897,1.6966,1.8858,71201858.0
2024-03-27,1.8859,2.1829,1.8557,2.0754,151806455.4
2024-03-28,2.0754,2.1675,1.9588,2.0219,76805116.8
2024-03-29,2.0219,2.1472,1.9015,1.903,69915223.0
2024-03-30,1.903,1.9554,1.8661,1.8805,33390488.5
2024-03-31,1.8805,1.9263,1.8651,1.9137,22474795.4
2024-04-01,1.9143,2.0263,1.8,1.9398,90669121.1
2024-04-02,1.9399,2.0054,1.7268,1.733,72666519.3
2024-04-03,1.7331,1.7655,1.6363,1.6681,47017781.8
2024-04-04,1.6682,1.743,1.6574,1.6839,28219103.5
2024-04-05,1.6839,1.684,1.5406,1.6075,33976164.7
2024-04-06,1.6077,1.6445,1.6004,1.6248,16031036.8
2024-04-07,1.6247,1.6682,1.617,1.6421,23997449.7
2024-04-08,1.6419,1.7225,1.6189,1.7099,28923342.6
2024-04-09,1.7096,1.7188,1.5691,1.5748,35189920.9
2024-04-10,1.5745,1.5841,1.46,1.5216,50288571.4
2024-04-11,1.5217,1.5604,1.4753,1.4904,33437961.4
2024-04-12,1.4904,1.5144,1.04,1.2394,91574972.6
2024-04-13,1.2395,1.2461,0.8856,1.0611,125853856.5
2024-04-14,1.0612,1.2097,1.0246,1.1985,97501860.2
2024-04-15,1.1983,1.2982,1.1152,1.1716,72404119.7
2024-04-16,1.1716,1.2335,1.105,1.2239,62164842.8
2024-04-17,1.2239,1.3578,1.177,1.2598,77597271.6
2024-04-18,1.2598,1.2885,1.1984,1.2552,58880494.0
2024-04-19,1.2553,1.391,1.1347,1.3334,70321259.1
2024-04-20,1.3331,1.4354,1.3048,1.4272,35667058.4
2024-04-21,1.427,1.4448,1.3407,1.3706,26492903.9
2024-04-22,1.3701,1.44,1.3542,1.3925,37627097.7
2024-04-23,1.3924,1.4169,1.3105,1.3263,30877236.1
2024-04-24,1.3262,1.3491,1.2366,1.2506,42188680.9
2024-04-25,1.2508,1.2657,1.1876,1.2242,33394239.6
2024-04-26,1.2242,1.2302,1.1614,1.1737,26300032.8
2024-04-27,1.1744,1.2323,1.118,1.2111,28262859.8
2024-04-28,1.2112,1.2599,1.2058,1.2177,16291420.1
2024-04-29,1.217,1.2315,1.1669,1.1921,23444592.6
2024-04-30,1.1922,1.2059,1.072,1.1438,51828918.4
2024-05-01,1.1434,1.1668,1.0683,1.1474,47808647.3
2024-05-02,1.1474,1.1606,1.0926,1.1212,25852856.6
2024-05-03,1.121,1.1468,1.0693,1.1119,50935228.5
2024-05-04,1.1116,1.1249,1.0766,1.091,69997409.6
2024-05-05,1.091,1.1216,1.0535,1.0954,45275978.2
2024-05-06,1.0956,1.1519,1.0787,1.0932,66082235.6
2024-05-07,1.0933,1.145,1.0755,1.0797,53295683.6
2024-05-08,1.0796,1.0833,1.0048,1.0105,38955874.9
2024-05-09,1.0104,1.0404,0.9738,1.0262,46259992.3
2024-05-10,1.0262,1.1108,1.0022,1.0076,66435807.9
2024-05-11,1.0076,1.0325,0.9901,0.9944,23345682.6
2024-05-12,0.9944,1.0208,0.9917,1.0037,15056829.7
2024-05-13,1.004,1.0148,0.9426,0.9696,38437656.7
2024-05-14,0.9695,0.9765,0.8851,0.8964,40546690.1
2024-05-15,0.8965,1.0266,0.8859,0.9921,57859367.5
2024-05-16,0.9918,1.0754,0.9753,1.024,63811892.7
2024-05-17,1.024,1.1087,1.0092,1.0755,50588536.8
2024-05-18,1.0755,1.0898,1.0516,1.0811,33072478.0
2024-05-19,1.0811,1.0894,1.0182,1.0269,23170385.9
2024-05-20,1.0268,1.147,1.0081,1.1467,55969198.3
2024-05-21,1.1466,1.172,1.1173,1.1406,42448589.0
2024-05-22,1.1407,1.1544,1.0809,1.1051,35988446.4
2024-05-23,1.1054,1.1335,1.0038,1.0764,59853518.9
2024-05-24,1.0762,1.0858,1.0316,1.0676,29968259.4
2024-05-25,1.0676,1.0837,1.051,1.0629,18130530.3
2024-05-26,1.0629,1.0704,1.0221,1.0419,24747249.2
2024-05-27,1.042,1.0829,1.0313,1.0743,26222430.3
2024-05-28,1.0744,1.0759,1.0137,1.0303,31740830.6
2024-05-29,1.0302,1.0475,1.0081,1.0165,26490573.8
2024-05-30,1.0164,1.0354,0.98,1.013,27003673.1
2024-05-31,1.0129,1.034,0.9951,1.0234,19765509.5
2024-06-01,1.0233,1.0365,1.0096,1.024,12928706.5
2024-06-02,1.0239,1.0389,1.007,1.0164,18643898.5
2024-06-03,1.0165,1.0561,1.0134,1.04,25420198.1
2024-06-04,1.0399,1.0559,1.0121,1.054,23556842.0
2024-06-05,1.0539,1.1049,1.0463,1.1041,37117447.2
2024-06-06,1.1041,1.1364,1.0857,1.1132,32681986.7
2024-06-07,1.1132,1.1719,0.983,1.081,71390493.1
2024-06-08,1.0809,1.1711,1.0637,1.1041,66568450.9
2024-06-09,1.104,1.1295,1.0639,1.094,36383658.5
2024-06-10,1.094,1.0964,1.0311,1.0338,35749513.2
2024-06-11,1.0338,1.0439,0.98,0.9921,35039005.0
2024-06-12,0.9922,1.0545,0.96,1.0185,42348013.6
2024-06-13,1.0186,1.0207,0.9583,0.9658,26224475.2
2024-06-14,0.9659,1.0032,0.9021,0.9294,33126737.5
2024-06-15,0.9295,0.9594,0.9261,0.9444,15957712.9
2024-06-16,0.9446,0.97,0.9232,0.9698,13246679.3
2024-06-17,0.9699,0.9852,0.8616,0.8907,35360997.9
2024-06-18,0.8909,0.8943,0.753,0.8001,63848818.4
2024-06-19,0.8001,0.8758,0.7912,0.8654,32788758.2
2024-06-20,0.8655,0.9239,0.8582,0.8942,29446722.3
2024-06-21,0.8944,0.9203,0.8662,0.9201,29794877.7
2024-06-22,0.92,0.9247,0.8875,0.8909,14920583.4
2024-06-23,0.8907,0.9433,0.8775,0.8811,24871068.4
2024-06-24,0.8812,0.8987,0.8075,0.8949,46237797.5
2024-06-25,0.8949,0.907,0.8695,0.8785,23223876.4
2024-06-26,0.8783,0.8905,0.8201,0.8297,20735647.8
2024-06-27,0.8296,0.8714,0.8257,0.8368,16023314.4
2024-06-28,0.8368,0.8448,0.7864,0.7908,19491347.4
